date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:39	77817/77817	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:39%20GMT	http://cnettr.com/tr-tr/productdetail/349/wnud1150h-high-power-wireless-n-usb-adaptor	C:/cnet/Cnet/tr-tr/productdetail/349/wnud1150h-high-power-wireless-n-usb-adaptor.html	(from http://cnettr.com/tr-tr/products)
14:29:41	22904/22904	---M--	200	added ('OK')	image/jpeg	etag:%2284b1fd58b66d01:0%22	http://cnettr.com/Storage/Web/Original/46608002-42b3-4f86-b01f-634f2ac3c1f1.jpg	C:/cnet/Cnet/Storage/Web/Original/46608002-42b3-4f86-b01f-634f2ac3c1f1.jpg	(from http://cnettr.com/tr-tr/products)
14:29:41	11958/11958	---M--	200	added ('OK')	image/jpeg	etag:%229f807d82ef63d01:0%22	http://cnettr.com/Storage/Web/Original/3c22e46b-1342-475a-9653-a2bc8a951262.jpg	C:/cnet/Cnet/Storage/Web/Original/3c22e46b-1342-475a-9653-a2bc8a951262.jpg	(from http://cnettr.com/tr-tr/products)
14:29:41	60854/60854	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:41%20GMT	http://cnettr.com/tr-tr/productdetail/346/wdac433-dual-band-wireless-ac-usb-adaptor	C:/cnet/Cnet/tr-tr/productdetail/346/wdac433-dual-band-wireless-ac-usb-adaptor.html	(from http://cnettr.com/tr-tr/products)
14:29:43	9838/9838	---M--	200	added ('OK')	image/jpeg	etag:%22179d7271ef63d01:0%22	http://cnettr.com/Storage/Web/Original/d7164673-35d7-444e-8232-3278cc1bdcf3.jpg	C:/cnet/Cnet/Storage/Web/Original/d7164673-35d7-444e-8232-3278cc1bdcf3.jpg	(from http://cnettr.com/tr-tr/products)
14:29:43	66629/66629	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:43%20GMT	http://cnettr.com/tr-tr/productdetail/338/cgs-1600-16-port-gigabit-ethernet-switch	C:/cnet/Cnet/tr-tr/productdetail/338/cgs-1600-16-port-gigabit-ethernet-switch.html	(from http://cnettr.com/tr-tr/products)
14:29:45	20918/20918	---M--	200	added ('OK')	image/jpeg	etag:%225d5789d2c66d01:0%22	http://cnettr.com/Storage/Web/Original/c748513a-b8ee-4fb2-aed9-9051911385bf.jpg	C:/cnet/Cnet/Storage/Web/Original/c748513a-b8ee-4fb2-aed9-9051911385bf.jpg	(from http://cnettr.com/tr-tr/products)
14:29:45	66066/66066	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:45%20GMT	http://cnettr.com/tr-tr/productdetail/340/cgs-800-8-port-gigabit-ethernet-switch	C:/cnet/Cnet/tr-tr/productdetail/340/cgs-800-8-port-gigabit-ethernet-switch.html	(from http://cnettr.com/tr-tr/products)
14:29:46	64918/64918	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:31:46%20GMT	http://cnettr.com/tr-tr/productdetail/342/csh-500--5-port-fast-ethernet-switch	C:/cnet/Cnet/tr-tr/productdetail/342/csh-500--5-port-fast-ethernet-switch.html	(from http://cnettr.com/tr-tr/products)
14:29:48	16542/16542	---M--	200	added ('OK')	image/jpeg	etag:%22a5d1aa57da62d01:0%22	http://cnettr.com/Storage/Web/Original/b99566f4-044e-4d59-b1d8-c830e0e13e6a.jpg	C:/cnet/Cnet/Storage/Web/Original/b99566f4-044e-4d59-b1d8-c830e0e13e6a.jpg	(from http://cnettr.com/tr-tr/products)
